TF,Target,score
15004,8205,0.7513779401779175
6042,1389,0.7513256072998047
6042,3158,0.7513254880905151
10385,17192,0.7512317299842834
6042,11850,0.7512216567993164
12745,4254,0.7512196898460388
15180,7527,0.7512156367301941
12745,11850,0.7510303258895874
12745,6301,0.7509855628013611
15004,13886,0.7509106397628784
6042,6944,0.7509066462516785
12745,6944,0.7508897185325623
12778,13362,0.7508753538131714
12778,7315,0.7507102489471436
12745,1389,0.7506513595581055
12745,3158,0.7506513595581055
10385,12325,0.7506473660469055
6042,12089,0.7505962252616882
15004,99,0.7505810856819153
12745,5150,0.7505715489387512
15004,12669,0.750564694404602
6136,12478,0.7504675388336182
6042,13195,0.7503014206886292
6042,5150,0.7502864003181458
15004,7342,0.7502538561820984
12745,13195,0.7502475380897522
12778,16491,0.7501978278160095
15004,5138,0.7501319050788879
10385,9798,0.7500967383384705
6042,11257,0.7500830292701721
15004,3786,0.7500790357589722
15180,8908,0.7500667572021484
15004,9748,0.7500667572021484
17009,1030,0.7500219941139221
12778,7108,0.7499988675117493
6042,8205,0.7499785423278809
12745,8205,0.749975860118866
12745,12089,0.7499586939811707
9896,12691,0.7499541640281677
6042,12535,0.7499473690986633
6042,6722,0.7499099969863892
6042,4005,0.7498427033424377
15180,11777,0.7497959733009338
15137,1030,0.74976646900177
12745,12535,0.7497296333312988
